# Drive V2 - Benchmark de Rendimiento
Fecha: 2026-03-10 19:41:34
Iteraciones: 5
Carpetas testeadas: 1 raiz + 5 subcarpetas
Total mediciones: 60
Tiempo total benchmark: 29,815ms

## Resumen por Escenario (promedios en ms)

| Escenario | N | P1 Data | P2 Orders | P3 Render | TOTAL | Carpetas | Archivos |
|-----------|---|---------|-----------|-----------|-------|----------|----------|
| 39 | Subcarpeta (cold) | New2 | 4 | 210 | 0 | 0 | **219** | 3 | 2 | 0 | cold |
| 40 | Subcarpeta (warm) | New2 | 4 | 264 | 0 | 0 | **272** | 3 | 2 | 0 | warm |
| 41 | Subcarpeta (cold) | Nueva carpeta | 4 | 230 | 0 | 0 | **241** | 0 | 9 | 0 | cold |
| 42 | Subcarpeta (warm) | Nueva carpeta | 4 | 191 | 0 | 0 | **204** | 0 | 9 | 0 | warm |
| 43 | Subcarpeta (cold) | Test 3 | 4 | 279 | 0 | 3 | **292** | 0 | 13 | 0 | cold |
| 44 | Subcarpeta (warm) | Test 3 | 4 | 196 | 0 | 0 | **205** | 0 | 13 | 0 | warm |
| 45 | Subcarpeta (cold) | Test 4 | 4 | 193 | 0 | 1 | **204** | 1 | 9 | 0 | cold |
| 46 | Subcarpeta (warm) | Test 4 | 4 | 208 | 0 | 0 | **220** | 1 | 9 | 0 | warm |
| 47 | Subcarpeta (cold) | TEst5 | 4 | 204 | 0 | 1 | **214** | 1 | 19 | 0 | cold |
| 48 | Subcarpeta (warm) | TEst5 | 4 | 210 | 0 | 2 | **224** | 1 | 19 | 0 | warm |
| 49 | Raiz (cold) | IMA MECATRONICA | 5 | 204 | 274 | 2 | **493** | 5 | 1 | 4 | cold |
| 50 | Raiz (warm) | IMA MECATRONICA | 5 | 191 | 0 | 1 | **202** | 5 | 1 | 0 | warm |
| 51 | Subcarpeta (cold) | New2 | 5 | 260 | 0 | 0 | **273** | 3 | 2 | 0 | cold |
| 52 | Subcarpeta (warm) | New2 | 5 | 205 | 0 | 0 | **217** | 3 | 2 | 0 | warm |
| 53 | Subcarpeta (cold) | Nueva carpeta | 5 | 198 | 0 | 1 | **209** | 0 | 9 | 0 | cold |
| 54 | Subcarpeta (warm) | Nueva carpeta | 5 | 206 | 0 | 0 | **215** | 0 | 9 | 0 | warm |
| 55 | Subcarpeta (cold) | Test 3 | 5 | 207 | 0 | 0 | **219** | 0 | 13 | 0 | cold |
| 56 | Subcarpeta (warm) | Test 3 | 5 | 193 | 0 | 1 | **204** | 0 | 13 | 0 | warm |
| 57 | Subcarpeta (cold) | Test 4 | 5 | 182 | 0 | 0 | **193** | 1 | 9 | 0 | cold |
| 58 | Subcarpeta (warm) | Test 4 | 5 | 193 | 0 | 0 | **205** | 1 | 9 | 0 | warm |
| 59 | Subcarpeta (cold) | TEst5 | 5 | 188 | 0 | 1 | **199** | 1 | 19 | 0 | cold |
| 60 | Subcarpeta (warm) | TEst5 | 5 | 201 | 0 | 1 | **215** | 1 | 19 | 0 | warm |
